gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,63,1,0,2,1,1,0,0,0,1,0,0,2,21.22,2978.77
1,1,1,0,52,1,0,1,0,1,1,1,0,1,0,1,2,116.99,1916.84
0,0,1,0,4,1,0,0,1,0,0,1,1,0,0,0,0,24.32,4850.17
0,1,1,0,23,0,1,2,0,1,0,0,1,1,0,0,0,109.11,4213.75
0,0,1,0,15,0,1,0,1,0,1,1,1,0,1,0,3,72.77,4194.88
1,1,1,1,43,1,0,1,0,1,0,0,1,0,0,0,3,119.3,2354.09
0,1,1,0,29,0,1,1,1,0,1,1,0,0,0,1,1,27.38,2085.8
0,0,1,1,36,0,0,2,0,0,0,0,1,0,2,1,3,75.39,1381.57
0,0,1,0,13,0,0,1,1,1,1,1,1,0,0,0,2,116.93,300.75
1,0,0,1,32,1,1,0,0,1,1,0,1,0,2,1,2,72.31,4326.32
0,0,1,0,71,1,1,2,1,1,1,0,1,1,1,0,0,82.94,4068.25
0,0,0,0,59,0,0,0,1,0,1,0,1,0,0,1,3,89.57,4998.59
0,0,1,1,28,1,1,0,1,1,0,1,0,0,2,0,1,65.45,4983.25
0,0,1,1,66,1,1,1,0,0,1,0,0,0,2,0,2,82.76,2786.05
1,0,0,1,42,1,0,1,1,0,1,0,1,1,1,0,2,78.43,3849.56
0,1,1,0,45,1,0,1,0,0,1,1,0,1,0,0,1,110.12,4724.93
1,1,0,1,62,1,1,1,1,1,0,1,1,0,0,0,1,24.54,4251.24
1,0,1,0,57,0,0,1,0,1,1,0,1,1,2,0,2,48.1,1251.79
1,1,1,0,6,1,0,2,1,0,0,0,0,0,0,1,2,115.04,2263.71
0,1,0,1,28,0,1,0,0,0,1,1,0,0,2,0,1,109.03,663.21
1,1,1,1,28,0,0,0,0,1,0,1,1,1,0,1,2,65.57,4771.17
0,1,0,0,44,1,0,0,1,0,0,1,1,0,2,0,0,82.01,3038.75
1,0,1,0,30,0,1,0,0,1,1,1,1,1,0,1,0,47.74,1158.64
1,1,0,1,62,0,1,1,0,0,0,1,0,1,1,1,1,38.81,3365.07
1,0,0,1,62,0,0,0,1,1,1,0,1,0,0,1,3,66.37,3098.28
1,1,1,1,1,1,0,2,0,0,1,1,1,0,0,0,1,55.34,1803.65
1,1,1,0,27,1,1,2,0,1,1,0,1,1,1,0,1,78.37,585.52
1,1,0,0,62,0,1,0,0,0,0,0,0,0,0,1,3,27.77,3364.43
1,0,1,0,3,1,1,0,1,1,0,0,1,0,1,0,3,117.44,2611.13
1,1,1,0,70,1,1,2,0,1,1,1,1,0,0,1,3,118.62,3866.15
0,0,1,0,27,1,0,2,1,0,1,0,0,1,2,0,0,89.82,2610.41
0,1,0,0,9,1,1,1,0,0,0,0,1,1,2,1,2,73.61,4263.86
1,0,0,1,62,0,1,2,0,1,1,1,1,0,0,1,0,50.95,2768.5
1,1,0,0,37,0,0,1,0,0,1,0,0,1,0,0,2,101.38,2813.47
1,0,0,0,51,1,1,1,1,1,1,0,1,1,0,1,0,88.47,4385.73
0,0,0,0,44,1,0,1,0,0,0,1,0,1,2,0,2,36.26,2029.34
1,1,0,1,24,0,1,1,0,1,0,0,0,1,0,1,0,111.09,687.4
0,0,0,0,59,0,1,1,1,1,0,0,1,1,2,1,3,102.25,163.34
0,1,0,0,32,1,1,0,0,1,1,0,1,0,1,0,1,114.98,3780.58
0,1,0,1,52,0,0,2,1,1,1,1,1,0,2,0,0,92.57,3109.14
0,1,1,0,62,1,0,1,1,1,1,1,1,0,2,0,2,81.34,3526.32
0,1,0,0,58,1,1,2,0,1,0,1,0,1,1,1,3,61.82,1080.56
1,1,1,0,52,0,0,2,1,0,1,0,1,1,2,0,0,113.27,699.13
1,1,1,0,12,0,0,1,0,0,1,0,0,0,0,1,0,106.61,92.43
1,1,1,0,39,1,0,0,1,0,1,1,1,1,0,1,3,24.52,1765.93
1,1,0,1,2,1,0,1,1,1,1,0,1,0,2,0,0,22.64,2957.79
1,1,0,1,3,0,0,0,0,1,0,0,1,0,0,0,1,57.65,1973.38
0,1,0,1,56,1,0,2,1,1,0,1,0,0,2,1,0,101.06,2198.63
1,1,0,0,59,0,1,0,1,1,1,1,1,1,0,1,1,118.73,4522.71
1,0,1,0,2,1,1,0,1,0,0,0,1,1,0,0,1,35.04,1754.31
